City,DirectWikimediaImageURL
Daringbadi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Lover%27s_point%2C_Daringbadi.jpg/1280px-Lover%27s_point%2C_Daringbadi.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Rameshwaram,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Rameswaram_Morning.jpg/1280px-Rameswaram_Morning.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Tirupati,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Tirumala_090615.jpg/1280px-Tirumala_090615.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Sambalpur,EMPTY
Vizag,EMPTY
Rourkela,EMPTY
Araku Valley,EMPTY
Baripada,EMPTY
Horsley Hills,EMPTY
Digha,EMPTY
Warangal,EMPTY
Mandarmani,EMPTY
Sundarbans,EMPTY
Vijayawada,EMPTY
Kakinada,EMPTY
Shantiniketan,EMPTY
Rajahmundry,EMPTY
Bishnupur,EMPTY
Siliguri,EMPTY
Guntur,EMPTY
Murshidabad,EMPTY
Nellore,EMPTY
Bodh Gaya,EMPTY
Anantapur,EMPTY
Patna,EMPTY
Kurnool,EMPTY
Nalanda,EMPTY
Srikakulam,EMPTY
Rajgir,EMPTY
Eluru,EMPTY
Vaishali,EMPTY
Nizamabad,EMPTY
Bhagalpur,EMPTY
Khammam,EMPTY
Gaya,EMPTY
Karimnagar,EMPTY
Ranchi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Ranchi_Cityscape.jpg/1280px-Ranchi_Cityscape.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Ramagundam,EMPTY
Netarhat,EMPTY
Deoghar,https://upload.wikimedia.org/wikipedia/commons/9/90/Baba_Baidyanath_Jyotirlinga_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Mahbubnagar,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Mahabubnagar_IT_Tower.jpg/1280px-Mahabubnagar_IT_Tower.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/b/b2/Green_City_Jamshedpur.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original
Nalgonda,EMPTY
Dhanbad,EMPTY
Adilabad,EMPTY
Hazaribagh,EMPTY
Suryapet,EMPTY
Shirdi,EMPTY
Jabalpur,EMPTY
Nashik,EMPTY
Kanha National Park,EMPTY
Aurangabad,EMPTY
Bandhavgarh National Park,EMPTY
Alibaug,EMPTY
Pench National Park,EMPTY
Panchgani,EMPTY
Mandu,EMPTY
Matheran,EMPTY
Raipur,EMPTY
Lavasa,EMPTY
Jagdalpur,EMPTY
Ganpatipule,EMPTY
Bilaspur,EMPTY
Tarkarli,EMPTY
Korba,EMPTY
Kohlapur,EMPTY
Durg,EMPTY
Solapur,EMPTY
Cuttack,EMPTY
Satara,EMPTY
Gopalpur,EMPTY
Ratnagiri,EMPTY
Daringbadi,EMPTY
Karjad,EMPTY
